school_id,name,minutes,half_width_m,pop_reachable,pop_straightline,pop_reach_ratio
genova_0107,Scuola dell'infanzia statale di Piazza Sarzano,5,40.0,948.7507114413381,5052.5738303195685,0.18777572447295263
genova_0108,Nido d'infanzia comunale San Donato,5,40.0,3679.3934813022615,6718.157120578289,0.5476789862553176
genova_0109,Asilo Nido Aziendale La Trottola,5,40.0,1074.470927916467,6528.3257747823,0.16458598498055152
genova_0110,Convitto Nazionale Cristoforo Colombo,5,40.0,1408.7805078268052,6249.408829252719,0.2254262037126577
genova_0111,Girandolina,5,40.0,1094.5305392575262,3922.133933924537,0.27906505940309007
genova_0112,Scuola Infanzia XVI Giugno,5,40.0,1280.9045010375978,4419.47070050877,0.2898321061140059
genova_0113,Scuola materna Fantasia,5,40.0,720.5676733082532,1639.481406562049,0.4395095122300078
genova_0114,Istituto Agrario Bernardo Marsano - Succursale,5,40.0,1010.8606852972507,2595.896990887076,0.38940708697066484
genova_0115,Asilo Nido San Desiderio,5,40.0,282.31471645116807,803.1171177625238,0.351523719526355
genova_0116,Scuola Primaria San Desiderio,5,40.0,183.17801694631575,784.4329672455369,0.23351646934157835
genova_0117,Scuola Primaria 2 Giugno,5,40.0,680.2471687865257,1252.5963143493236,0.5430697511990432
genova_0118,Azienda Agraria Succursale Istituto Marsano,5,40.0,151.45558143973352,580.1551725652814,0.2610604689949414
genova_0119,Scuola Materna,5,40.0,1541.9401313781736,4933.838475790024,0.31252343159273627
genova_0120,Scuola dell'Infanzia Alice nel paese delle meraviglie,5,40.0,2916.8541950440404,6384.5967741274835,0.4568580128449312
genova_0121,Scuola dell'infanzia di Piazza S. Maria in Via Lata,5,40.0,1521.8946431064605,5605.296468849182,0.271510106836315
genova_0122,Scuola dell'Infanzia Statale Felice Cavallotti,5,40.0,1193.6441353130342,3921.2704375362396,0.30440240078493763
genova_0123,Scuola dell'infanzia Il Delfino,5,40.0,412.8362901449203,2496.252321337238,0.16538243614882836
genova_0124,Scuola Elementare di Stato Luigi Manfredi,5,40.0,270.5555708217621,1039.5718511796,0.2602567302248164
genova_0125,Centro Pedagogico l'Emile,5,40.0,1885.2485999965666,3299.735321304007,0.5713332787102282
genova_0126,Scuola Materna Comunale Gnecco Massa,5,40.0,1496.583424320221,3021.597423147638,0.49529543970857975
genova_0127,Scuola Elementare Angelo Gianelli,5,40.0,1877.9636607027055,3818.62157854822,0.49179098323135695
genova_0128,scuola Fabrizi,5,40.0,640.176453704834,3593.0248483341934,0.17817200846847306
genova_0129,Centro Infanzia Porto Antico,5,40.0,411.12604660481213,5524.087447414324,0.07442424663231012
genova_0130,Scuola Edile Genovese,5,40.0,6.115185579061508,235.2784635435231,0.025991267908506584
genova_0131,Scuola d'Infanzia e scuola primaria Suore Domenicane,5,40.0,1482.257428894043,4472.129166648086,0.33144334022109934
genova_0132,Scuola d'Infanzia e scuola primaria Suore Domenicane,5,40.0,1482.257428894043,4499.49116927832,0.3294277893052926
genova_0133,Scuola G. Baliano,5,40.0,4358.4885357689855,6634.196734542846,0.6569730609698784
genova_0134,Asilo nido Oasis,5,40.0,4554.308130561113,7617.631138782129,0.5978640928640757
genova_0135,Asilo nido vico rosa,5,40.0,4021.7436126136777,7641.880629734993,0.5262766859985806
genova_0136,Asilo nido yo-yo,5,40.0,3072.680604667664,7148.435295331478,0.42983960513350095
genova_0137,laboratorio migrazioni,5,40.0,2041.7785860824583,5732.750963685512,0.35616034937087604
genova_0138,Nido d'infanzia comunale Sarzano,5,40.0,1460.5291064357757,5365.813095419928,0.27219157291975615
genova_0139,Scuola Primaria Giacomo Canepa,5,40.0,309.6969409894943,616.2097208170966,0.5025836667731156
genova_0140,Scuola dell'Infanzia di Crevari,5,40.0,309.6969409894943,611.9599799047783,0.5060738465899086
genova_0141,World English,5,40.0,928.5763675689697,3852.7640569803116,0.2410156328900041
genova_0142,Scuola dell'Infanzia Arcobaleno,5,40.0,680.2471687865257,1215.7562148047982,0.5595259645830774
genova_0143,Scuola materna Papa Giovanni XXIII,5,40.0,5466.416445655823,12338.264290771484,0.44304582207275933
